filename,lat,lon,mode_label,land_cover_label
data sentinel_downloads tile_28.2057_76.8557.tif,28.2057,76.8557,50,Built-up
data sentinel_downloads tile_28.2057_76.8787.tif,28.2057,76.8787,50,Built-up
data sentinel_downloads tile_28.2057_76.8902.tif,28.2057,76.8902,40,Cropland
data sentinel_downloads tile_28.2057_76.9017.tif,28.2057,76.9017,40,Cropland
data sentinel_downloads tile_28.2057_76.9132.tif,28.2057,76.9132,40,Cropland
data sentinel_downloads tile_28.2057_76.9247.tif,28.2057,76.9247,40,Cropland
data sentinel_downloads tile_28.2057_76.9362.tif,28.2057,76.9362,40,Cropland
data sentinel_downloads tile_28.2057_76.9477.tif,28.2057,76.9477,40,Cropland
data sentinel_downloads tile_28.2057_76.9592.tif,28.2057,76.9592,40,Cropland
data sentinel_downloads tile_28.2057_76.9707.tif,28.2057,76.9707,40,Cropland
data sentinel_downloads tile_28.2057_76.9822.tif,28.2057,76.9822,40,Cropland
data sentinel_downloads tile_28.2057_76.9937.tif,28.2057,76.9937,40,Cropland
data sentinel_downloads tile_28.2057_77.0052.tif,28.2057,77.0052,40,Cropland
data sentinel_downloads tile_28.2057_77.0167.tif,28.2057,77.0167,40,Cropland
data sentinel_downloads tile_28.2057_77.0282.tif,28.2057,77.0282,20,Shrubland
data sentinel_downloads tile_28.2057_77.0397.tif,28.2057,77.0397,30,Grassland
data sentinel_downloads tile_28.2057_77.0512.tif,28.2057,77.0512,40,Cropland
data sentinel_downloads tile_28.2057_77.0627.tif,28.2057,77.0627,50,Built-up
data sentinel_downloads tile_28.2057_77.0742.tif,28.2057,77.0742,40,Cropland
data sentinel_downloads tile_28.2057_77.0857.tif,28.2057,77.0857,40,Cropland
data sentinel_downloads tile_28.2057_77.0972.tif,28.2057,77.0972,40,Cropland
data sentinel_downloads tile_28.2057_77.1087.tif,28.2057,77.1087,40,Cropland
data sentinel_downloads tile_28.2057_77.1202.tif,28.2057,77.1202,40,Cropland
data sentinel_downloads tile_28.2057_77.1317.tif,28.2057,77.1317,40,Cropland
data sentinel_downloads tile_28.2057_77.1432.tif,28.2057,77.1432,40,Cropland
data sentinel_downloads tile_28.2057_77.1547.tif,28.2057,77.1547,40,Cropland
data sentinel_downloads tile_28.2057_77.1662.tif,28.2057,77.1662,40,Cropland
data sentinel_downloads tile_28.2057_77.1777.tif,28.2057,77.1777,40,Cropland
data sentinel_downloads tile_28.2057_77.1892.tif,28.2057,77.1892,40,Cropland
data sentinel_downloads tile_28.2057_77.2007.tif,28.2057,77.2007,40,Cropland
data sentinel_downloads tile_28.2057_77.2122.tif,28.2057,77.2122,40,Cropland
data sentinel_downloads tile_28.2057_77.2237.tif,28.2057,77.2237,40,Cropland
data sentinel_downloads tile_28.2057_77.2352.tif,28.2057,77.2352,40,Cropland
data sentinel_downloads tile_28.2057_77.2467.tif,28.2057,77.2467,40,Cropland
data sentinel_downloads tile_28.2057_77.2582.tif,28.2057,77.2582,40,Cropland
data sentinel_downloads tile_28.2057_77.2697.tif,28.2057,77.2697,40,Cropland
data sentinel_downloads tile_28.2057_77.2812.tif,28.2057,77.2812,40,Cropland
data sentinel_downloads tile_28.2057_77.2927.tif,28.2057,77.2927,40,Cropland
data sentinel_downloads tile_28.2057_77.3042.tif,28.2057,77.3042,40,Cropland
data sentinel_downloads tile_28.2057_77.3157.tif,28.2057,77.3157,40,Cropland
data sentinel_downloads tile_28.2057_77.3272.tif,28.2057,77.3272,30,Grassland
data sentinel_downloads tile_28.2057_77.3502.tif,28.2057,77.3502,40,Cropland
data sentinel_downloads tile_28.2057_77.3617.tif,28.2057,77.3617,40,Cropland
data sentinel_downloads tile_28.2057_77.3732.tif,28.2057,77.3732,40,Cropland
data sentinel_downloads tile_28.2057_77.3847.tif,28.2057,77.3847,40,Cropland
data sentinel_downloads tile_28.2057_77.3962.tif,28.2057,77.3962,40,Cropland
data sentinel_downloads tile_28.2057_77.4077.tif,28.2057,77.4077,40,Cropland
data sentinel_downloads tile_28.2057_77.4192.tif,28.2057,77.4192,40,Cropland
data sentinel_downloads tile_28.2057_77.4307.tif,28.2057,77.4307,40,Cropland
data sentinel_downloads tile_28.2057_77.4422.tif,28.2057,77.4422,40,Cropland
data sentinel_downloads tile_28.2057_77.4537.tif,28.2057,77.4537,40,Cropland
data sentinel_downloads tile_28.2057_77.4652.tif,28.2057,77.4652,40,Cropland
data sentinel_downloads tile_28.2057_77.4767.tif,28.2057,77.4767,40,Cropland
data sentinel_downloads tile_28.2057_77.4882.tif,28.2057,77.4882,40,Cropland
data sentinel_downloads tile_28.2057_77.4997.tif,28.2057,77.4997,40,Cropland
data sentinel_downloads tile_28.2057_77.5112.tif,28.2057,77.5112,40,Cropland
data sentinel_downloads tile_28.2057_77.5227.tif,28.2057,77.5227,40,Cropland
data sentinel_downloads tile_28.2057_77.5342.tif,28.2057,77.5342,40,Cropland
data sentinel_downloads tile_28.2057_77.5457.tif,28.2057,77.5457,40,Cropland
data sentinel_downloads tile_28.2057_77.5572.tif,28.2057,77.5572,40,Cropland
data sentinel_downloads tile_28.2057_77.5801.tif,28.2057,77.5801,40,Cropland
data sentinel_downloads tile_28.2057_77.5916.tif,28.2057,77.5916,40,Cropland
data sentinel_downloads tile_28.2057_77.6031.tif,28.2057,77.6031,40,Cropland
data sentinel_downloads tile_28.2057_77.6146.tif,28.2057,77.6146,40,Cropland
data sentinel_downloads tile_28.2057_77.6261.tif,28.2057,77.6261,40,Cropland
data sentinel_downloads tile_28.2057_77.6376.tif,28.2057,77.6376,40,Cropland
data sentinel_downloads tile_28.2172_76.8557.tif,28.2172,76.8557,50,Built-up
data sentinel_downloads tile_28.2172_76.8672.tif,28.2172,76.8672,50,Built-up
data sentinel_downloads tile_28.2172_76.8787.tif,28.2172,76.8787,50,Built-up
data sentinel_downloads tile_28.2172_76.8902.tif,28.2172,76.8902,40,Cropland
data sentinel_downloads tile_28.2172_76.9017.tif,28.2172,76.9017,40,Cropland
data sentinel_downloads tile_28.2172_76.9132.tif,28.2172,76.9132,40,Cropland
data sentinel_downloads tile_28.2172_76.9247.tif,28.2172,76.9247,40,Cropland
data sentinel_downloads tile_28.2172_76.9362.tif,28.2172,76.9362,40,Cropland
data sentinel_downloads tile_28.2172_76.9477.tif,28.2172,76.9477,40,Cropland
data sentinel_downloads tile_28.2172_76.9592.tif,28.2172,76.9592,40,Cropland
data sentinel_downloads tile_28.2172_76.9707.tif,28.2172,76.9707,40,Cropland
data sentinel_downloads tile_28.2172_76.9822.tif,28.2172,76.9822,40,Cropland
data sentinel_downloads tile_28.2172_76.9937.tif,28.2172,76.9937,40,Cropland
data sentinel_downloads tile_28.2172_77.0052.tif,28.2172,77.0052,40,Cropland
data sentinel_downloads tile_28.2172_77.0167.tif,28.2172,77.0167,40,Cropland
data sentinel_downloads tile_28.2172_77.0282.tif,28.2172,77.0282,40,Cropland
data sentinel_downloads tile_28.2172_77.0397.tif,28.2172,77.0397,40,Cropland
data sentinel_downloads tile_28.2172_77.0512.tif,28.2172,77.0512,30,Grassland
data sentinel_downloads tile_28.2172_77.0627.tif,28.2172,77.0627,40,Cropland
data sentinel_downloads tile_28.2172_77.0742.tif,28.2172,77.0742,40,Cropland
data sentinel_downloads tile_28.2172_77.0857.tif,28.2172,77.0857,40,Cropland
data sentinel_downloads tile_28.2172_77.0972.tif,28.2172,77.0972,40,Cropland
data sentinel_downloads tile_28.2172_77.1087.tif,28.2172,77.1087,40,Cropland
data sentinel_downloads tile_28.2172_77.1317.tif,28.2172,77.1317,40,Cropland
data sentinel_downloads tile_28.2172_77.1432.tif,28.2172,77.1432,40,Cropland
data sentinel_downloads tile_28.2172_77.1547.tif,28.2172,77.1547,40,Cropland
data sentinel_downloads tile_28.2172_77.1662.tif,28.2172,77.1662,40,Cropland
data sentinel_downloads tile_28.2172_77.1777.tif,28.2172,77.1777,40,Cropland
Copy of data sentinel_downloads tile_28.2172_77.1202.tif,28.2172,77.1202,40,Cropland
Copy of data sentinel_downloads tile_28.2172_77.1892.tif,28.2172,77.1892,40,Cropland
Copy of data sentinel_downloads tile_28.2057_77.5686.tif,28.2057,77.5686,40,Cropland
Copy of data sentinel_downloads tile_28.2057_77.3387.tif,28.2057,77.3387,40,Cropland
Copy of data sentinel_downloads tile_28.2057_76.8672.tif,28.2057,76.8672,50,Built-up
